imo_number,ship_name,ship_type,total_co2_emissions,ais_point_count,avg_speed,unique_days_active
9410569,NORWEGIAN EPIC,Passenger ship,100535.9,12,17.83,1
9742819,CASTILLO DE CALDELAS,LNG carrier,76772.32,4,19.75,1
9795737,ODYSSEY OF THE SEAS,Passenger ship,76009.91,13,9.67,1
9318060,BELITA,Container ship,69743.99,9,13.34,1
9656101,ANTHEM OF THE SEAS,Passenger ship,67986.57,14,12.69,1
9326603,IBERICA KNUTSEN,LNG carrier,66119.59,14,12.33,1
9737462,TAMPA TRIUMPH,Container ship,60532.12,4,0.1,1
9332987,MAERSK COLUMBUS,Container ship,59908.43,3,0.0,1
9333008,MAERSK HARTFORD,Container ship,59291.4,4,0.0,1
9161716,VOYAGER OF THE SEAS,Passenger ship,53338.99,14,15.39,1
9302164,HUMEN BRIDGE,Container ship,51636.37,5,0.0,1
9804801,SCARLET LADY,Passenger ship (Cruise Passenger ship),50912.93,1,18.8,1
9300805,OOCL EUROPE,Container ship,49603.58,5,0.08,1
9785457,MSC RAYSHMI,Container ship,48760.32,6,16.88,1
9450624,CMA CGM DALILA,Container ship,46375.97,12,0.77,1
9200691,BRUSSELS,Container ship,46173.35,3,0.03,1
9534004,CYAN NOVA,Oil tanker,45672.47,2,0.0,1
9221839,PORTO CHELI,Container ship,44919.92,5,0.0,1
9193240,MAERSK KENTUCKY,Container ship,44749.93,9,8.97,1
9838400,CELEBRITY ASCENT,Passenger ship,44491.71,2,21.45,1
9710426,MSC ANZU,Container ship,43568.16,12,11.64,1
9777620,GUAYAQUIL EXPRESS,Container ship,43547.02,10,18.49,1
9618317,MSC ATHOS,Container ship,43471.29,13,15.96,1
9619452,MSC ARICA,Container ship,41348.3,14,0.39,1
9462926,DECATHLON,Oil tanker,40501.97,4,0.0,1
9143568,LONDON EXPRESS,Container ship,40099.17,2,0.0,1
9472165,COSCO HOPE,Container ship,39458.79,3,11.63,1
9226920,MSC MARIANNA,Container ship,39008.87,5,0.04,1
9312810,NYK VIRGO,Container ship,38694.62,5,0.0,1
9859117,CMA CGM TENERE,Container ship,37005.03,4,0.0,1
9702077,MSC MELINE,Container ship,36879.71,6,0.0,1
9229300,MSC CATHERINE VI,Container ship,36226.17,12,0.11,1
9311701,MAERSK KANSAS,Container ship,36162.92,13,13.38,1
9298686,MAERSK IOWA,Container ship,36081.32,4,0.0,1
9235579,MAERSK GARONNE,Container ship,35976.07,5,0.12,1
9399052,MSC EMANUELA,Container ship,35834.28,14,15.46,1
9785823,MONTE UDALA,Oil tanker,35462.98,4,0.0,1
9312975,NYK OCEANUS,Container ship,35327.79,14,1.29,1
9411953,BALTIC LOYALTY,Oil tanker,35181.66,1,13.2,1
9437945,GRANDE SIERRA LEONE,Container/ro-ro cargo ship,35178.51,4,0.0,1
9224726,CARNIVAL LEGEND,Passenger ship,34848.27,14,18.09,1
9535204,HUBERT SCHULTE,Container ship,32132.51,4,0.0,1
9290282,MSC RACHELE,Container ship,32096.67,4,0.0,1
8703232,TOM SAWYER,Ro-pax ship,32069.91,12,0.0,1
9722596,STI JERMYN,Oil tanker,32023.69,12,7.28,1
9401075,MELINA,Container ship,31016.55,13,12.16,1
9534054,CELESTE NOVA,Oil tanker,30935.98,12,0.51,1
9235555,MAERSK GIRONDE,Container ship,30397.71,5,0.02,1
9279989,MSC STELLA,Container ship,29663.18,13,14.35,1
9349502,COLORADO EXPRESS,Container ship,29394.59,12,7.13,1
